wavelength,CYP102-Trp,CYP102-His,CYP119-His,CYP119-Trp
437,0.325071495387629,0.258175577641992,0.298178029645502,0.285693088040401
438,0.344641294950017,0.279041506356897,0.31493969685285,0.304612679881146
439,0.364667522839774,0.292675106556809,0.332615506864665,0.324423548874905
440,0.384501045940813,0.311847552082077,0.350633190080122,0.345113668232759
441,0.405703866132874,0.32510557546818,0.369322910976475,0.366813684125982
442,0.426807212705425,0.347268705604179,0.38890233554682,0.388801765647136
443,0.450205598875011,0.365316768837044,0.409165844517448,0.411424976804283
444,0.474026622344945,0.381908210430183,0.429840322679743,0.434617962061903
445,0.497720446380796,0.398366492464865,0.451663048565315,0.45770883316718
446,0.521562141714836,0.418885561917909,0.473560647766853,0.481435645888646
447,0.545412841956967,0.439445478777907,0.495038463752951,0.505039178722007
448,0.568820328927432,0.455860516336903,0.516408991376402,0.528217686666518
449,0.590867573053603,0.474307267992668,0.537705998839977,0.550910216776403
450,0.612710950293234,0.497672716367965,0.558778711758235,0.572974832439418
451,0.633686576159453,0.516233227530509,0.578444493666771,0.594121679710777
452,0.653901734600559,0.53388573282014,0.598206674289639,0.614823223130358
453,0.674169602302948,0.55609164728215,0.616911170466198,0.635091913185806
454,0.693936506627844,0.569446150201019,0.636325956522548,0.654923611833296
455,0.71281522179752,0.590815397536667,0.655364090693509,0.674811043493309
456,0.731908407869046,0.609276100211852,0.674342459102969,0.69412835486984
457,0.751300503938937,0.63334293122048,0.692925073393473,0.712660568039471
458,0.770040641065686,0.649662611443809,0.711206658960725,0.730963387624522
459,0.78778279035524,0.664081860215599,0.728933432641253,0.749064566209052
460,0.804899921660726,0.682399010448263,0.746083565626591,0.766933801795265
461,0.820983017289739,0.699627999346066,0.761546274554601,0.784207008749067
462,0.836348178309431,0.716523412477785,0.777619717099201,0.800351193052782
463,0.850825524344967,0.732412850477463,0.793262630349879,0.816338637379156
464,0.865209377020554,0.755240711420856,0.808344636728944,0.831429473948452
465,0.879327250577003,0.765162330670029,0.822196603283917,0.846404779386868
466,0.893090734372801,0.787335566782549,0.835527162447115,0.859938534380744
467,0.906523664595943,0.794507995347659,0.84849985406383,0.873320970928572
468,0.918213440983789,0.808813485601059,0.8611004778218,0.886602196345
469,0.929232569565806,0.824400882863813,0.873490183538444,0.899216564548394
470,0.938892878516986,0.838293144493559,0.884860938141874,0.910980993575967
471,0.947968233227919,0.849994469454962,0.896046736185036,0.922085852742815
472,0.956390364739659,0.868805854178568,0.90662049115997,0.932740557481463
473,0.964550259042867,0.876567059916898,0.916406011795563,0.942633994695184
474,0.971361746568072,0.887391783807054,0.926034412511946,0.951748584322829
475,0.978140711168618,0.900832337522502,0.934804729187283,0.960514835291496
476,0.983414488236185,0.914689274219909,0.943491512132498,0.968300755641555
477,0.987812508053566,0.919300272840921,0.950559711835432,0.974902681998012
478,0.991746839899243,0.930327267799978,0.957075322823543,0.98118691512716
479,0.994388033074923,0.937757124577674,0.96296842363945,0.986424752120103
480,0.995782951555819,0.943245034427212,0.968750133119664,0.990762514818005
481,0.996829016439378,0.961793317188955,0.97391323731254,0.993800579433009
482,0.998028055283818,0.962285186152104,0.978856865135412,0.996567677160899
483,0.999306137280352,0.970496121317445,0.983784790188926,0.998127861878402
484,1,0.974974909613728,0.987261914310525,0.999090012111629
485,0.998628060023582,0.981191157974199,0.990751400003397,1
486,0.996480951178296,0.980816470871013,0.993103506719258,0.999052266488848
487,0.995769103926359,0.988988016656149,0.996205576861985,0.997752706519987
488,0.993589887273675,0.990630877378416,0.998568962975222,0.995720160135877
489,0.989766799358087,0.992570712714923,1,0.99314763310119
490,0.985301189069625,0.99169539877351,0.999935647776597,0.989819346858116
491,0.980939483987721,0.993102406177967,0.999843760614602,0.985924492921568
492,0.97580233638923,0.993051532763792,0.999693782616902,0.98149902413459
493,0.970655018816969,0.993181857230425,0.999260374612873,0.976587221875817
494,0.964794687903337,0.997581733444767,0.998201216677647,0.970889136557267
495,0.958246873178831,0.997724131160049,0.996857722694921,0.964325371386528
496,0.951611603848395,0.994687607016171,0.994058811974595,0.958419065200243
497,0.944681574495524,0.987786404143908,0.991185770854811,0.951827208860671
498,0.938062969732958,1,0.988045718950126,0.944423135550826
499,0.930074548980608,0.987287526984902,0.984667549553689,0.936448324122775
500,0.923410312997044,0.993735286036398,0.980789134378999,0.92769807874753
501,0.915820994128075,0.984340812702648,0.975964486975272,0.918934553520892
502,0.907350642750884,0.978336900766324,0.971267708402165,0.909726644219691
503,0.89889336187637,0.980467211660334,0.965748295251478,0.900975452581769
504,0.890147458576891,0.97083035346913,0.961382939382417,0.891734883563492
505,0.881050508017081,0.976784860837242,0.955958992366302,0.882622687082438
506,0.872359654306432,0.966339087827741,0.95023764079669,0.872484720507904
507,0.862465947531221,0.963964956457079,0.943615448237622,0.861895771865918
508,0.852989913443496,0.955528446185151,0.937295150008685,0.851714841468772
509,0.842226837265079,0.94884374373442,0.929846003345587,0.84155238673813
510,0.830470306155933,0.942782382385917,0.92208682787648,0.830595530885773
511,0.819762460281164,0.932116791807509,0.913914181549365,0.819138536540983
512,0.809196453061561,0.926510894106505,0.906523468199078,0.807432285777392
513,0.797926218552417,0.916632050193056,0.898060420836592,0.796026133229999
