wavelength,raw,Smoothed Y1,Subtracted_Data Y1,Normalized1
,,50 pts SG smooth of B,"Subtracted from ""Smoothed Y1""","Divided by Max of ""Subtracted_Data Y1"""
583,3.77392584846313,3.79629839269427,3.29264410868137,0.690587826253305
584,3.77211893116209,3.73034168396412,3.22664157067467,0.676744681429645
585,3.68955748550726,3.66005837463151,3.1563124320655,0.661994090308572
586,3.57131078759187,3.58897070023118,3.08517892838863,0.647074794430686
587,3.535887013084,3.51893390578313,3.01509630466402,0.632375906491811
588,3.48779720467508,3.4515704823007,2.94768705190504,0.618237722164679
589,3.39874383497092,3.38765214175576,2.88372288208355,0.604822097658326
590,3.33071545978427,3.32177222315048,2.81779713420173,0.590995058530777
591,3.40971510079582,3.25689286164473,2.75287194341942,0.577377872800556
592,3.11908547235044,3.1865870503875,2.68252030288564,0.562622562203372
593,3.04791893430084,3.11885883040263,2.61474625362421,0.5484078667152
594,3.0603086519478,3.05231314857888,2.54815474252392,0.534441192704965
595,2.95680287208641,2.99165120577792,2.4874469704464,0.521708553837267
596,2.91744218372393,2.93483135767215,2.43058129306409,0.50978174266799
597,2.85472994763719,2.874007084332,2.36971119044738,0.497015057152524
598,2.80291553863655,2.81856579791137,2.3142240747502,0.485377380759454
599,2.7092533123456,2.75938931474277,2.25500176230505,0.472956297074959
600,2.73771056427267,2.70521846060171,2.20078507888745,0.461585076769275
601,2.62383944632529,2.64427064454252,2.1397914335517,0.448792479829746
602,2.53609280688991,2.59407486687261,2.08954982660524,0.438254978361808
603,2.55018666371164,2.54424882434067,2.03967795479675,0.427795023867302
604,2.53956199160597,2.49506352887389,1.99044683005342,0.417469457453713
605,2.49076072246957,2.44820360090107,1.94354107280405,0.407631605603218
606,2.42068777239712,2.40348413604855,1.89877577867498,0.398242687109819
607,2.32066428121493,2.35637595244532,1.8516217657952,0.388352766979092
